M,N,K,GFLOPs,Time (ms)
128,128,128,451.342083,0.009293ms
256,256,256,2140.977834,0.015672ms
512,512,512,10934.056407,0.024550ms
1024,1024,1024,29058.501676,0.073902ms
2048,2048,2048,50315.546153,0.341443ms
