M,N,K,GFLOPs,Time (ms)
128,128,128,414.155728,0.010127ms
256,256,256,2125.721728,0.015785ms
512,512,512,7653.804550,0.035072ms
1024,1024,1024,10123.100171,0.212137ms
2048,2048,2048,12603.409837,1.363113ms
