dataset,Avg.Epoch (ms)
cora, 1.554
citeseer, 1.552
pubmed, 1.546
ppi, 1.904
amazon0505, 3.547
artist, 1.660
com-amazon, 2.632
soc-BlogCatalog, 2.512
amazon0601, 3.894
PROTEINS_full, 1.547
OVCAR-8H, 7.063
Yeast, 6.488
DD, 2.278
TWITTER-Real-Graph-Partial, 8.870
SW-620H, 7.031
