dataset,M,N,K,GFLOPs,Time (ms)
cora,2708,16,1433,2570.16,0.0490864ms
citeseer,3327,16,3703,1856.993,0.260022ms
pubmed,19717,16,500,4850.6,0.081928ms
ppi,56944,16,50,8639.15,0.0127232ms
amazon0505,410236,16,96,7307.94,0.159787ms
artist,50515,16,100,9211.15,0.0166864ms
com-amazon,334863,16,96,7582.68,0.116384ms
soc-BlogCatalog,88784,16,128,6892.69,0.0617136ms
amazon0601,403394,16,96,7966.42,0.137757ms
DD,334925,16,89,6356.97,0.148061ms
TWITTER-Real-Graph-Partial,580768,16,1323,6859.42,3.26907ms
