dataset,M,N,K,GFLOPs,Time (ms)
cora,2708,16,1433,2518.54,0.0493056ms
citeseer,3327,16,3703,1383.08,0.285043ms
pubmed,19717,16,500,4992.28,0.063192ms
ppi,56944,16,50,8232.92,0.0116176ms
amazon0505,410236,16,96,7423.12,0.156923ms
artist,50515,16,100,9994.14,0.0172208ms
com-amazon,334863,16,96,7342.49,0.12607ms
soc-BlogCatalog,88784,16,128,6906.47,0.0485936ms
amazon0601,403394,16,96,7822.71,0.153982ms
DD,334925,16,89,6087.93,0.156682ms
TWITTER-Real-Graph-Partial,580768,16,1323,6588.89,3.63807ms
