dataset,M,N,K,GFLOPs,Time (ms)
cora,2708,16,1433,1227.17,0.10119ms
citeseer,3327,16,3703,700.7,0.562632ms
pubmed,19717,16,500,3353.23,0.09408ms
ppi,56944,16,50,7545.25,0.0120752ms
amazon0505,410236,16,96,7272.28,0.173294ms
artist,50515,16,100,8977.25,0.0180064ms
com-amazon,334863,16,96,7132.89,0.144219ms
soc-BlogCatalog,88784,16,128,6637.86,0.0547856ms
amazon0601,403394,16,96,7251.21,0.170899ms
DD,334925,16,89,5416.35,0.176109ms
TWITTER-Real-Graph-Partial,580768,16,1323,6230.26,3.94645ms
