dataset,M,N,K,TFLOPs,Time (ms)
cora,2708,16,1433,1.22717,0.101191ms
citeseer,3327,16,3703,2.7007,0.162632ms
pubmed,19717,16,500,3.35323,0.094082ms
ppi,56944,16,50,2.24525,0.042075ms
amazon0505,410236,16,96,7.27228,0.183294ms
artist,50515,16,100,6.97725,0.028006ms
com-amazon,334863,16,96,7.03289,0.164219ms
soc-BlogCatalog,88784,16,128,6.63786,0.058786ms
amazon0601,403394,16,96,7.25121,0.170899ms
DD,334925,16,89,5.41635,0.176109ms
TWITTER-Real-Graph-Partial,580768,16,1323,6.23026,3.946452ms
