dataset,M,N,K,TFLOPs,Time (ms)
cora,2708,16,1433,2.51854,0.049306ms
citeseer,3327,16,3703,2.38308,0.185043ms
pubmed,19717,16,500,4.99228,0.063192ms
ppi,56944,16,50,2.23292,0.040618ms
amazon0505,410236,16,96,7.42312,0.176923ms
artist,50515,16,100,6.99414,0.026221ms
com-amazon,334863,16,96,7.04249,0.150072ms
soc-BlogCatalog,88784,16,128,6.90647,0.052594ms
amazon0601,403394,16,96,7.82271,0.163982ms
DD,334925,16,89,6.08793,0.156682ms
TWITTER-Real-Graph-Partial,580768,16,1323,6.58889,3.638072ms
