dataset,Avg.Epoch (ms)
cora, 1.900
citeseer, 1.862
pubmed, 1.829
ppi, 2.002
amazon0505, 4.676
artist, 1.908
com-amazon, 3.438
soc-BlogCatalog, 3.278
amazon0601, 4.078
PROTEINS_full, 1.852
OVCAR-8H, 8.278
Yeast, 7.450
DD, 2.703
TWITTER-Real-Graph-Partial, 15.384
SW-620H, 8.277
