dataset,Avg.Epoch (ms)
cora, 2.961
citeseer, 2.931
pubmed, 2.945
ppi, 3.139
amazon0505, 9.812
artist, 3.977
com-amazon, 5.386
soc-BlogCatalog, 17.111
amazon0601, 20.412
PROTEINS_full, 2.925
OVCAR-8H, 13.818
Yeast, 12.581
DD, 4.083
TWITTER-Real-Graph-Partial, 11.055
SW-620H, 13.862
