M,N,K,TFLOPs,Time (ms)
128,128,128,0.542157519,0.007736ms
256,256,256,2.788765998,0.012032ms
512,512,512,9.858743923,0.027228ms
768,768,768,14.480131031,0.062566ms
1024,1024,1024,16.728369630,0.128374ms
2048,2048,2048,17.656324021,0.973015ms
3072,3072,3072,18.401959145,3.150863ms
4096,4096,4096,19.036949199,7.219589ms
5120,5120,5120,18.975501631,14.146422ms
6144,6144,6144,18.874907265,24.575298ms
7168,7168,7168,18.696634974,39.396763ms
