M,N,K,TFLOPs,Time (ms)
128,128,128,0.724955759,0.005786ms
256,256,256,4.398389104,0.007629ms
512,512,512,27.507240852,0.009759ms
768,768,768,49.999209673,0.018120ms
1024,1024,1024,54.358527170,0.039506ms
2048,2048,2048,111.247373940,0.154429ms
3072,3072,3072,157.654257286,0.367780ms
4096,4096,4096,149.056284668,0.922061ms
5120,5120,5120,138.185077320,1.942579ms
6144,6144,6144,149.680997237,3.098967ms
7168,7168,7168,150.275842175,4.901566ms
