M,N,K,GFLOPs,Time (ms)
128,128,128,598.830385,0.007004ms
256,256,256,4861.720997,0.006902ms
512,512,512,27843.228609,0.009641ms
1024,1024,1024,54161.984676,0.039649ms
2048,2048,2048,111754.978439,0.153728ms
