M,N,K,GFLOPs,Time (ms)
128,128,128,553.887773,0.007572ms
256,256,256,2800.683892,0.011981ms
512,512,512,9858.743923,0.027228ms
1024,1024,1024,16734.375423,0.128328ms
2048,2048,2048,17644.161886,0.973686ms
