dataset,Avg.Epoch (ms)
cora, 2.281
citeseer, 2.291
pubmed, 2.355
ppi, 2.993
amazon0505, 15.278
artist, 4.591
com-amazon, 8.346
soc-BlogCatalog, 16.935
amazon0601, 12.283
PROTEINS_full, 2.320
OVCAR-8H, 20.402
Yeast, 18.605
DD, 5.139
TWITTER-Real-Graph-Partial, 15.584
SW-620H, 20.403
